city,country_iso3,population,year,source
Tokyo,JPN,33412512,2025,UN World Urbanization Prospects 2025
New Delhi,IND,30222405,2025,UN World Urbanization Prospects 2025
Shanghai,CHN,29558908,2025,UN World Urbanization Prospects 2025
Guangzhou,CHN,27563372,2025,UN World Urbanization Prospects 2025
Manila,PHL,24735305,2025,UN World Urbanization Prospects 2025
Kolkata,IND,22549738,2025,UN World Urbanization Prospects 2025
Seoul,KOR,22490482,2025,UN World Urbanization Prospects 2025
Karachi,PAK,21422590,2025,UN World Urbanization Prospects 2025
Mumbai,IND,20203056,2025,UN World Urbanization Prospects 2025
Sao Paulo,BRA,18949790,2025,UN World Urbanization Prospects 2025
Bangkok,THA,18180280,2025,UN World Urbanization Prospects 2025
Mexico City,MEX,17734212,2025,UN World Urbanization Prospects 2025
Beijing,CHN,17013303,2025,UN World Urbanization Prospects 2025
Lahore,PAK,15156430,2025,UN World Urbanization Prospects 2025
Istanbul,TUR,15014763,2025,UN World Urbanization Prospects 2025
Moscow,RUS,14524753,2025,UN World Urbanization Prospects 2025
Ho Chi Minh City,VNM,14052713,2025,UN World Urbanization Prospects 2025
Buenos Aires,ARG,14017736,2025,UN World Urbanization Prospects 2025
New York City,USA,13920148,2025,UN World Urbanization Prospects 2025
Shenzhen,CHN,13878396,2025,UN World Urbanization Prospects 2025
Bengaluru,IND,13187098,2025,UN World Urbanization Prospects 2025
Osaka,JPN,12964145,2025,UN World Urbanization Prospects 2025
Lagos,NGA,12791699,2025,UN World Urbanization Prospects 2025
Los Angeles,USA,12740420,2025,UN World Urbanization Prospects 2025
Chennai,IND,11153205,2025,UN World Urbanization Prospects 2025
Kinshasa,COD,10943641,2025,UN World Urbanization Prospects 2025
Bogota,COL,10624315,2025,UN World Urbanization Prospects 2025
London,GBR,10416420,2025,UN World Urbanization Prospects 2025
Rio de Janeiro,BRA,9500336,2025,UN World Urbanization Prospects 2025
Paris,FRA,9381921,2025,UN World Urbanization Prospects 2025
Hyderabad,IND,9190795,2025,UN World Urbanization Prospects 2025
Tehran,IRN,9174964,2025,UN World Urbanization Prospects 2025
Kuala Lumpur,MYS,8443731,2025,UN World Urbanization Prospects 2025
Dar es Salaam,TZA,7795114,2025,UN World Urbanization Prospects 2025
Suzhou,CHN,7731101,2025,UN World Urbanization Prospects 2025
Ahmedabad,IND,7632408,2025,UN World Urbanization Prospects 2025
Hangzhou,CHN,7500208,2025,UN World Urbanization Prospects 2025
Wuhan,CHN,7363548,2025,UN World Urbanization Prospects 2025
Tianjin,CHN,7285342,2025,UN World Urbanization Prospects 2025
Nagoya,JPN,7146160,2025,UN World Urbanization Prospects 2025
Johannesburg,ZAF,7077175,2025,UN World Urbanization Prospects 2025
Chongqing,CHN,7071073,2025,UN World Urbanization Prospects 2025
Riyadh,SAU,6916417,2025,UN World Urbanization Prospects 2025
Surat,IND,6908925,2025,UN World Urbanization Prospects 2025
Surabaya,IDN,6843503,2025,UN World Urbanization Prospects 2025
Pune,IND,6817951,2025,UN World Urbanization Prospects 2025
Nanjing,CHN,6800676,2025,UN World Urbanization Prospects 2025
Santiago,CHL,6726045,2025,UN World Urbanization Prospects 2025
Addis Ababa,ETH,6705705,2025,UN World Urbanization Prospects 2025
Baghdad,IRQ,6390735,2025,UN World Urbanization Prospects 2025
Chengdu,CHN,6139874,2025,UN World Urbanization Prospects 2025
Nairobi,KEN,6134334,2025,UN World Urbanization Prospects 2025
Shenyang,CHN,5702638,2025,UN World Urbanization Prospects 2025
Yangon,MMR,5618303,2025,UN World Urbanization Prospects 2025
Accra,GHA,5592780,2025,UN World Urbanization Prospects 2025
Faisalabad,PAK,5566382,2025,UN World Urbanization Prospects 2025
Hanoi,VNM,5068414,2025,UN World Urbanization Prospects 2025
Dhaka,BGD,36585479,2025,UN World Urbanization Prospects 2025
Jakarta,IDN,41913860,2025,UN World Urbanization Prospects 2025
Cairo,EGY,25566102,2025,UN World Urbanization Prospects 2025
Islamabad,PAK,4860084,2025,UN World Urbanization Prospects 2025
Kano,NGA,4840280,2025,UN World Urbanization Prospects 2025
Saint Petersburg,RUS,4736499,2025,UN World Urbanization Prospects 2025
Cape Town,ZAF,4508921,2025,UN World Urbanization Prospects 2025
Alexandria,EGY,7266957,2025,UN World Urbanization Prospects 2025
Xi'an,CHN,5231053,2025,UN World Urbanization Prospects 2025
Zhengzhou,CHN,4878035,2025,UN World Urbanization Prospects 2025
Hefei,CHN,4867000,2025,UN World Urbanization Prospects 2025
Harbin,CHN,4376259,2025,UN World Urbanization Prospects 2025
Jeddah,SAU,4284080,2025,UN World Urbanization Prospects 2025
Chaozhou,CHN,6407770,2025,UN World Urbanization Prospects 2025
Onitsha,NGA,5627706,2025,UN World Urbanization Prospects 2025
Mashhad,IRN,5398248,2025,UN World Urbanization Prospects 2025
Bandung,IDN,8909104,2025,UN World Urbanization Prospects 2025
Lucknow,IND,5052444,2025,UN World Urbanization Prospects 2025
Chattogram,BGD,4983553,2025,UN World Urbanization Prospects 2025
Kanpur,IND,4329973,2025,UN World Urbanization Prospects 2025
Kumasi,GHA,4297984,2025,UN World Urbanization Prospects 2025
